name,gender,age,location,status,username,ethnicity,occupation,description,match_age,children,orientation,religion,smoking,drinking,intent,target
snaselo1978,male,46 y.o.,"Córdoba, Argentina",divorced,snaselo1978,white,Ingeniero agronomo,-,from 26 to 36,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,Friendship,Female
Bigbaby4848,male,52 y.o.,"Calgary, AB, Canada",divorced,Bigbaby4848,white,Oil and gas,Fun to be around. Open to trying anything that is fun together,from 19 to 48,more than 2 living elsewhere,Straight,Christian,non-smoker,social drinker,Fun,Female
Emanuel12,male,30 y.o.,"San Juan, Puerto Rico",separated,Emanuel12,hispanic,-,-,from 19 to 38,no children,Straight,Other,non-smoker,social drinker,"Fun, Friendship",Female
tyty0,male,54 y.o.,"Pontevedra, España",single,tyty0,white,-,-,from 32 to 54,no children,Straight,Other,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship",Female
Lenin1975,male,49 y.o.,"Guayaquil, Ecuador",divorced,Lenin1975,hispanic,-,-,from 30 to 40,want children,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",Female
Kawish,male,54 y.o.,"Paris, France",divorced,Kawish,black,Hôtel industry,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Friendship, Romance, Serious Relationship",Female
Numark,male,32 y.o.,"La Habana, Cuba",single,Numark,hispanic,-,-,from 19 to 35,no children,Straight,Other,non-smoker,never,Serious Relationship,Female
Hjcharelli,male,34 y.o.,"Guayaquil, Ecuador",single,Hjcharelli,hispanic,"Redes sociales, agente de seguros","Soy un caballero, super espontaneo, atento a los detalles, sé escuchar y brindo lo mejor de mi.",from 19 to 86,no children,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage",Female
Fabio78,male,45 y.o.,"Milan, Metropolitan City of Milan, Italy",single,Fabio78,white,Teacher,"Curious, cultural handsome friendly",from 19 to 86,no children,Straight,Other,social smoker,social drinker,"Friendship, Romance, Serious Relationship",Female
Nathaliapc,female,37 y.o.,"Madrid, Spain",single,Nathaliapc,hispanic,Servicio doméstico,-,from 39 to 55,no children,Straight,Other,non-smoker,occasional drinker,"Serious Relationship, Marriage",Male
Diana89,female,35 y.o.,"Tashkent, Uzbekistan",single,Diana89,white,Дизайнер,-,from 34 to 46,no children,Straight,Christian,non-smoker,social drinker,Friendship,Male
jo1989,male,34 y.o.,"Cali, Valle del Cauca, Colombia",single,jo1989,black,independiente,quisiera encontrar alguien con quien compartir mi felicidad,from 29 to 32,no children,Straight,Spiritual,non-smoker,never,Serious Relationship,Female
bellabellalina,female,33 y.o.,"Managua, Nicaragua",single,bellabellalina,white,maestra,amante de los hombres lindos y detallistas,from 26 to 38,no children,Straight,Other,non-smoker,occasional drinker,Romance,Male
alexsmile,male,48 y.o.,"Orlando, FL, USA",single,alexsmile,white,-,-,from 19 to 23,don't want children,Straight,Spiritual,non-smoker,social drinker,"Fun, Friendship, Romance",Female
Shally,female,51 y.o.,"Faridabad, Haryana, India",divorced,Shally,asian,Business,"Great sense of humor, intelligent, honest , independent woman",from 42 to 52,no children,Straight,Hindu,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",Male
scherazade,female,49 y.o.,"Manta, Ecuador",divorced,scherazade,hispanic,Docencia,"Soy una mujer sencilla humilde de buen corazón,me gusta la honestidad seriedad ante todo.",from 47 to 75,1-2 living with me,Straight,Other,non-smoker,never,Serious Relationship,Male
Seeking,male,52 y.o.,"Port Elizabeth, South Africa",separated,Seeking,white,Self Employed Construction,-,from 42 to 48,1-2 living elsewhere,Straight,Christian,light smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
witemeat,male,67 y.o.,"Cookson, OK 74427, USA",divorced,witemeat,white,Retired,"I'm just a regular guy, looking for an honest woman. I've been on several sites with fake profiles. I felt like I could probably find something here",from 19 to 45,more than 2 living elsewhere,Straight,Christian,non-smoker,social drinker,Fun,Female
LuisRoger87,male,35 y.o.,"Xalapa, Ver., Mexico",single,LuisRoger87,hispanic,-,-,from 19 to 35,no children,Straight,Other,non-smoker,social drinker,"Romance, Serious Relationship",Female
LiliSeverichea,female,33 y.o.,"Medellín, Antioquia, Colombia",single,LiliSeverichea,hispanic,-,-,from 20 to 60,no children,Straight,Other,non-smoker,never,Friendship,Male
Destino75,male,49 y.o.,"Paramaribo, Surinam",single,Destino75,hispanic,Economista,-,from 19 to 86,want children,Straight,Spiritual,non-smoker,social drinker,Friendship,Female
Eduardo1214,male,33 y.o.,"Rialto, California, EE. UU.",single,Eduardo1214,hispanic,-,-,from 25 to 30,no children,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,Female
fabzionj,male,56 y.o.,"Clifton, NJ, USA",divorced,fabzionj,hispanic,EDI Analyst = Ecommerce,soy un tipo alegre en busqueda de alquien que me pueda acompañar en este hermoso sendero llamado vida disfrutar un buen vino mirar el ocaso juntos divertirnos como locos y disfrutar de las pequeñas cosas que nos da la vida nada de dramas ni cosas elegantes o exuberantes trabajando juntos se llega lejos,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
Anyhelo,male,38 y.o.,"Bogotá, Colombia",single,Anyhelo,mixed,-,-,from 19 to 86,no children,Straight,Other,non-smoker,never,Serious Relationship,Female
Batman,male,45 y.o.,"Woodlands Street 32, Singapore",divorced,Batman,asian,Executive,"Travel a lot, like adventures activities and love animals.",from 19 to 86,no children,Straight,Hindu,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship",Male
Seashell55,female,59 y.o.,"Ocala, FL, USA",single,Seashell55,white,Warehouse,-,from 47 to 61,1-2 living elsewhere,Straight,Spiritual,light smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship",Male
Roseitoaster,female,68 y.o.,"Camp Hill, PA 17011, USA",widowed,Roseitoaster,white,-,-,from 55 to 70,1-2 living with me,Straight,Other,non-smoker,social drinker,Serious Relationship,Male
Daddy_Freddie,male,59 y.o.,"Las Vegas, NV, USA",divorced,Daddy_Freddie,white,Self Employed,I just found that my family ancestry originated in County Donegal Ireland and it's my desire to learn more about it and possibly establish some new acquaintances through this website. I look forward to getting to know you.,from 34 to 55,no children,Straight,Spiritual,non-smoker,social drinker,Friendship,Female
andortizulloa,male,38 y.o.,"Villavicencio, Meta, Colombia",separated,andortizulloa,hispanic,Hotelería,-,from 25 to 45,1-2 living elsewhere,Straight,Spiritual,non-smoker,social drinker,Romance,Female
Alejo1900,male,33 y.o.,"Bogotá, Colombia",single,Alejo1900,hispanic,social communicator and journalist,-,from 19 to 38,1-2 living elsewhere,Straight,Spiritual,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",Male
Fabi2020,male,42 y.o.,"Glew, Provincia de Buenos Aires, Argentina",single,Fabi2020,native american,Aprendíz,"Morocho mído 1,67 y peso 93 kílos y soy estudiante de inglés.",from 19 to 40,no children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance",Female
Indy1022,female,54 y.o.,"Bucaramanga, Santander, Colombia",separated,Indy1022,hispanic,Administradora de empresas,-,from 51 to 62,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage",Male
maxmax007,male,65 y.o.,"Burleson, TX, USA",divorced,maxmax007,hispanic,auto,-,from 21 to 65,no children,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship",Female
Yanis,female,33 y.o.,"Georgetown, Guyana",single,Yanis,black,-,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,"Romance, Serious Relationship, Marriage",Female
Alex119,male,64 y.o.,"Jacksonville, Florida, EE. UU.",divorced,Alex119,hispanic,Asistente de Ingeniero,-,from 40 to 55,1-2 living elsewhere,Straight,Christian,non-smoker,never,Serious Relationship,Female
Ciruela,female,55 y.o.,"Stuttgart, Germany",separated,Ciruela,hispanic,-,-,from 45 to 52,don't want children,Straight,Other,non-smoker,occasional drinker,Serious Relationship,Male
Jlobo,male,45 y.o.,"San Salvador, El Salvador",single,Jlobo,hispanic,-,-,from 19 to 55,no children,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",Female
Jorgeperez1166,male,29 y.o.,"Ciudad de México, CDMX, México",single,Jorgeperez1166,hispanic,Comunicólogo,-,from 19 to 50,want children,Straight,Christian,social smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
Chikojosverdes,male,46 y.o.,"San Juan, Puerto Rico",single,Chikojosverdes,hispanic,-,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,never,"Fun, Friendship, Romance",Female
Anahi,female,34 y.o.,"Cochabamba, Bolivia",single,Anahi,hispanic,Independientemente,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,Friendship,Male
Mileth,female,36 y.o.,"Apartadó, Antioquia, Colombia",single,Mileth,mixed,-,-,from 35 to 40,more than 2 living with me,Straight,Christian,non-smoker,never,Marriage,Male
Nury16,female,40 y.o.,"Ocaña, Norte de Santander, Colombia",single,Nury16,hispanic,-,-,from 35 to 55,1-2 living with me,Straight,Spiritual,non-smoker,never,"Friendship, Serious Relationship",Male
Nancy90,female,33 y.o.,"Guadalajara, Jalisco, Mexico",single,Nancy90,hispanic,Engineer,-,from 28 to 34,no children,Straight,Spiritual,non-smoker,occasional drinker,Friendship,Male
Triumphnt,male,45 y.o.,"Cleveland, OH, USA",divorced,Triumphnt,white,Facility director,I would rather talk to someone in person rather than write an article of my likes and dislikes. Even if you have common interest doesn't mean you will connect. Let's go out and have a fun night,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship",Female
Maria2510,female,33 y.o.,"Cdad. de Guatemala, Guatemala",single,Maria2510,hispanic,-,-,from 32 to 55,no children,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship",Male
wildwarrior420,male,41 y.o.,"Glenville, WV 26351, USA",single,wildwarrior420,white,-,-,from 19 to 49,no children,Straight,Christian,social smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship",Female
Dating4114,female,55 y.o.,"Lima, Perú",single,Dating4114,white,Adm. empresas,-,from 48 to 54,no children,Straight,Christian,non-smoker,social drinker,"Friendship, Serious Relationship",Male
Diegosalazar37,male,47 y.o.,"Armenia, Quindío, Colombia",single,Diegosalazar37,hispanic,-,-,from 24 to 86,1-2 living elsewhere,Straight,Spiritual,light smoker,occasional drinker,"Fun, Romance",Female
Diani43,female,45 y.o.,"Pereira, Risaralda, Colombia",single,Diani43,asian,Asesor grupo social,"Es difícil uno describirse pero hay ciertos puntos que me destacó y es ser muy positiva,se que todo puede ser posible,me gusta cocinar,leer,el deporte y sobre todo salir a caminar,disfrutar en familia una cena .",from 30 to 55,no children,Straight,Other,non-smoker,never,"Friendship, Serious Relationship",Male
leo1101,male,51 y.o.,"Punta de Mata 6217, Monagas, Venezuela",separated,leo1101,hispanic,TSU mantenimiento mecánico,-,from 35 to 42,no children,Straight,Christian,non-smoker,social drinker,Serious Relationship,Female
Adolfocamacho2,male,48 y.o.,"Provincia de Alajuela, Alajuela, Costa Rica",divorced,Adolfocamacho2,white,-,-,from 27 to 49,1-2 living elsewhere,Straight,Christian,non-smoker,never,Friendship,Male
larmo,male,50 y.o.,"Salé, Morocco",single,larmo,hispanic,permaculter,am down to earth god fearing friendly openminded and please feel free to ask me cause I am not good at describing my own person,from 38 to 45,no children,Straight,Muslim,non-smoker,never,Serious Relationship,Female
roftox,male,44 y.o.,"Barcelona, España",single,roftox,hispanic,-,-,from 19 to 31,want children,Straight,Other,non-smoker,social drinker,"Serious Relationship, Marriage",Female
Jimmy_aguirre94,male,30 y.o.,"Lima, Perú",single,Jimmy_aguirre94,hispanic,-,-,from 19 to 40,want children,Straight,Christian,non-smoker,occasional drinker,"Romance, Serious Relationship",Female
Milagros28,female,31 y.o.,"Lima, Perú",single,Milagros28,hispanic,Engineer,"Hi, my name is Milagros, i 'm 27 years old, I would like to meet people, know their culture and make a beautiful friendship and maybe something more.",from 34 to 65,no children,Straight,Other,non-smoker,never,"Friendship, Romance, Serious Relationship",Male
Principe21,male,43 y.o.,"Tuscaloosa, AL, USA",single,Principe21,hispanic,Conductor,-,from 19 to 86,no children,Straight,Christian,non-smoker,occasional drinker,Fun,Female
DaneMM,female,23 y.o.,"Tegucigalpa, Honduras",single,DaneMM,hispanic,ESTUDIO,-,from 19 to 35,no children,Straight,Other,non-smoker,never,"Friendship, Romance",Male
Enriquenava11,male,41 y.o.,"Zamora de Hidalgo, Mich., México",single,Enriquenava11,hispanic,Agricultura,Soy un hombre trabajador en busca de una mujer con deseos de una relacion seria y una mujer hogareña y verdadera compañera.,from 19 to 50,no children,Straight,Christian,non-smoker,social drinker,Marriage,Male
Elizabeth22,female,26 y.o.,"Lima, Perú",single,Elizabeth22,hispanic,-,Soy muy alegre cariñosa amable me gusta mucho los niños busco una relacion seria mi edad es 22 años vivo en lima peru,from 27 to 39,no children,Straight,Christian,non-smoker,never,Serious Relationship,Male
Fernando10,male,33 y.o.,"Santiago, Santiago Metropolitan Region, Chile",single,Fernando10,hispanic,-,"Soy una persona alegre divertida , me encanta hacer deporte amo el fútbol... soy amoroso",from 19 to 50,no children,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,Female
Maggy45,female,49 y.o.,"Los Angeles, CA, USA",divorced,Maggy45,hispanic,disenadora grafica,"Soy una persona muy directa ,honesta , trabajadora, educada. Siempre expresare lo que siento y pienso. Amo leer, la naturaleza, los animales , fotografia, yoga, meditacion y cocinar.Me encanta el Arte en todas sus formas , soy sociable y muy divertida una vez que me siento en confianza!.",from 48 to 62,1-2 living elsewhere,Straight,Spiritual,non-smoker,occasional drinker,"Serious Relationship, Marriage",Male
josel999,male,39 y.o.,"Lima, Perú",single,josel999,hispanic,Catedratico,"Soy una persona comprensiva, cariñosa, romantica y apasionado, muy trabajador me gustan los retos y cumplir poco a poco mis metas.",from 19 to 86,want children,Straight,Christian,non-smoker,never,Romance,Male
Toolino,male,68 y.o.,"Tarragona, España",separated,Toolino,white,Empresario,-,from 19 to 86,no children,Bisexual,Other,non-smoker,occasional drinker,"Friendship, Serious Relationship",Female
Duval42,male,47 y.o.,"Jacksonville, FL, USA",separated,Duval42,white,Spray tech,-,from 38 to 44,more than 2 living elsewhere,Straight,Other,light smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship",Female
zory2013,female,47 y.o.,"San Juan, Puerto Rico",divorced,zory2013,hispanic,Directora,"Soynsipernsociablr , me encanta hablar y salir",from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance",Male
Nelson32,male,36 y.o.,"La Paz, Bolivia",single,Nelson32,mixed,Industrial,-,from 19 to 86,no children,Straight,Spiritual,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
Jimie69,male,34 y.o.,Singapore,single,Jimie69,asian,Cargo agent,-,from 19 to 36,no children,Straight,Muslim,light smoker,never,"Friendship, Romance, Serious Relationship, Marriage",Female
Pedro5555,male,52 y.o.,"Vigo, Pontevedra, España",widowed,Pedro5555,white,Ventas,-,from 19 to 86,don't want children,Straight,Christian,non-smoker,social drinker,Serious Relationship,Female
Light87,male,37 y.o.,"Boston, MA, USA",single,Light87,mixed,Artist,-,from 25 to 45,no children,Straight,Christian,non-smoker,occasional drinker,Marriage,Female
Dchernandez90,female,40 y.o.,"Cali, Valle del Cauca, Colombia",single,Dchernandez90,hispanic,Enfermera,"Soy una mujer trabajadora, con valores, cariñosa y fiel.",from 36 to 43,no children,Straight,Christian,non-smoker,never,"Romance, Serious Relationship, Marriage",Male
stevenchelo,male,38 y.o.,"Lima, Perú",single,stevenchelo,hispanic,abogado,Me gusta conocer personas sinceras y muy empáticas.,from 19 to 40,no children,Straight,Christian,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",Female
rejuv987,male,70 y.o.,"Santa Rosa, CA, USA",divorced,rejuv987,white,Legal,"Single man looking for my match that is the mirror of me except she is a female. It means like me... she also is full of humor, educated, relaxed, sincere with a desire to share life and travel.",from 58 to 73,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
Katiuska30,female,34 y.o.,"Caracas, Distrito Capital, Venezuela",single,Katiuska30,hispanic,Administradora,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,Romance,Male
Yralc,female,33 y.o.,"Mayagüez, Puerto Rico",single,Yralc,white,-,-,from 19 to 86,more than 2 living elsewhere,Straight,Spiritual,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage","Male, Female"
DirkIcaza,male,42 y.o.,"Ahrensburg, Germany",single,DirkIcaza,white,-,-,from 19 to 38,no children,Straight,Other,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship",Female
juliguhi,male,34 y.o.,"Bogota, Colombia",single,juliguhi,white,Supervisor,Humilde trabajador exitoso alegre,from 30 to 42,want children,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage",Female
Cristi87,female,37 y.o.,"Málaga, España",single,Cristi87,white,Desempleada,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,Serious Relationship,Male
Javier1786,male,39 y.o.,"20094 Corsico, Metropolitan City of Milan, Italy",single,Javier1786,hispanic,chofer,-,from 19 to 86,no children,Straight,Other,light smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
Lia8,female,41 y.o.,"Pisa, Province of Pisa, Italy",separated,Lia8,white,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,social drinker,"Friendship, Romance",Male
Fernandomoguerti,male,50 y.o.,"Huelva, España",single,Fernandomoguerti,white,-,"Soy un hombre trabajador que no fuma ni bebé,busco una pareja con la que mantener una relación sería.",from 30 to 45,want children,Straight,Other,non-smoker,never,Serious Relationship,Female
JohnnyRascal,male,39 y.o.,"Winnipeg, MB, Canada",single,JohnnyRascal,mixed,Sales,-,from 19 to 42,no children,Straight,Christian,light smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
juanortiz,male,38 y.o.,"Esmeraldas, Ecuador",single,juanortiz,hispanic,gerente de empresa,-,from 19 to 40,no children,Straight,Christian,non-smoker,occasional drinker,"Romance, Serious Relationship, Marriage",Female
Lenin_ec,male,41 y.o.,"Sabadell, Barcelona, España",single,Lenin_ec,hispanic,-,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,Serious Relationship,Female
Bled4bathori,male,49 y.o.,"Lima, OH, USA",single,Bled4bathori,white,Musician,I'm a long haired guitarist.into all kinds of things.hit me up to find out.,from 19 to 86,no children,Straight,Spiritual,social smoker,occasional drinker,"Fun, Friendship, Romance",Female
Jreyes,male,28 y.o.,"Gaithersburg, MD, USA",single,Jreyes,hispanic,-,Me gusta el sexo buscar una mujer para pasarla bien tengo 24 años de edad,from 19 to 86,no children,Straight,Christian,non-smoker,occasional drinker,Romance,Female
Rmd70,female,50 y.o.,"Lake of the Ozarks, Missouri, USA",divorced,Rmd70,white,CPA,-,from 50 to 70,1-2 living elsewhere,Straight,Other,social smoker,social drinker,"Fun, Romance, Serious Relationship, Marriage",Male
Nayra123,female,24 y.o.,"Sucre, Bolivia",single,Nayra123,hispanic,Estudiante,Soy una persona muy responsable amable social,from 22 to 25,no children,Homosexual,Other,non-smoker,occasional drinker,Romance,Male
DanielBaez,male,46 y.o.,"Santiago de Querétaro, Qro., Mexico",single,DanielBaez,white,-,"I'm Mexican guy very romantic, funny and confident I would like to Know somebody for share interesting things about life, travel and more...",from 24 to 39,no children,Straight,Spiritual,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
Hectorlop025,male,32 y.o.,"Asunción, Paraguay",single,Hectorlop025,hispanic,Trabajo logístico,-,from 19 to 40,1-2 living elsewhere,Straight,Other,non-smoker,social drinker,"Fun, Friendship, Romance",Female
gideonkokote,male,37 y.o.,"Kimbe, Papua New Guinea",widowed,gideonkokote,pacific islander,Teacher,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,never,Marriage,Female
Clelia,female,48 y.o.,"Guanajuato, Gto., México",single,Clelia,hispanic,-,"Ser feliz es lo más importante la honestidad y sinceridad es mi prioridad , la alegría del espíritu es primordial",from 36 to 45,no children,Straight,Christian,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",Male
Ulices,male,35 y.o.,"Salt Lake City, UT, USA",single,Ulices,hispanic,-,-,from 30 to 50,more than 2 living elsewhere,Straight,Christian,social smoker,social drinker,Fun,Female
Mirsa,female,46 y.o.,"Lima, Perú",single,Mirsa,white,Administrativo,"Persona sincera, educada, trabajadora, alegre y muy feliz",from 42 to 46,no children,Straight,Other,non-smoker,never,Marriage,Male
Michael983936739,male,30 y.o.,"Huaraz, Perú",single,Michael983936739,hispanic,-,"Soy un chico romántico,amigable,respetuoso, viajero y montañista también me gusta la cocina y la familia. Más los deportes y las pláticas .",from 19 to 86,no children,Straight,Other,non-smoker,never,"Romance, Serious Relationship, Marriage",Female
vicentico,male,52 y.o.,"Arequipa, Perú",divorced,vicentico,white,arquitecto,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",Female
bukky,female,37 y.o.,"Kuopio, Finland",single,bukky,black,IT,-,from 31 to 35,no children,Straight,Christian,non-smoker,social drinker,"Friendship, Romance",Male
Fonti,male,46 y.o.,"Navás, Barcelona, España",single,Fonti,native american,Riesgos Laborales,-,from 30 to 42,no children,Bisexual,Atheist,non-smoker,never,"Friendship, Serious Relationship, Marriage","Male, Female"
ALEX_TO,male,30 y.o.,Hong Kong,single,ALEX_TO,asian,Airport Security,I love travelling and I am looking for my another half to be my partner in future.,from 30 to 40,don't want children,Straight,Other,non-smoker,social drinker,"Serious Relationship, Marriage",Female
alberto1959,male,64 y.o.,"Bogotá, Colombia",divorced,alberto1959,hispanic,-,-,from 39 to 47,more than 2 living elsewhere,Straight,Spiritual,social smoker,social drinker,Serious Relationship,Female
Beast,male,59 y.o.,"Anaheim, CA, USA",single,Beast,black,Truck Driver,-,from 29 to 50,1-2 living with me,Straight,Other,non-smoker,social drinker,Friendship,Female
lauralopez001,female,34 y.o.,"Pia, France",single,lauralopez001,hispanic,-,-,from 35 to 55,no children,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship",Male
miguel36,male,40 y.o.,"Caracas, Capital District, Venezuela",single,miguel36,hispanic,-,-,from 19 to 86,1-2 living elsewhere,Straight,Other,non-smoker,occasional drinker,Marriage,Female
David108,male,62 y.o.,"28330 San Martín de la Vega, Madrid, España",divorced,David108,white,-,-,from 40 to 55,1-2 living elsewhere,Straight,Other,non-smoker,social drinker,Serious Relationship,Female
nena004,female,32 y.o.,"San José Province, Santa Ana, Costa Rica",separated,nena004,black,-,-,from 50 to 86,1-2 living elsewhere,Straight,Other,non-smoker,occasional drinker,Friendship,Male
Rivka5,female,52 y.o.,"Rejovot, Israel",single,Rivka5,hispanic,-,-,from 40 to 55,no children,Straight,Spiritual,non-smoker,never,"Friendship, Serious Relationship",Male
Marcjesu,male,31 y.o.,"Maracaibo, Zulia, Venezuela",single,Marcjesu,hispanic,Bartender y barista,-,from 28 to 45,no children,Straight,Christian,light smoker,occasional drinker,"Romance, Serious Relationship",Female
LizaRiga,female,33 y.o.,"Riga, Latvia",single,LizaRiga,white,-,-,from 19 to 86,1-2 living with me,Straight,Atheist,non-smoker,never,Friendship,Male
ale05,female,29 y.o.,"Campinas - Estado de São Paulo, Brasil",single,ale05,hispanic,Estúdio y trabajo,"Me gusta disfrutar del momento a lado de la persona correcta me gusta cantar, bailar, no soy de salir mucho me gusta estar en casa compartir todo con mi pareja",from 19 to 86,no children,Straight,Other,non-smoker,occasional drinker,"Serious Relationship, Marriage",Male
Jihad,male,60 y.o.,"Doha, Qatar",separated,Jihad,asian,-,-,from 19 to 86,don't want children,Straight,Spiritual,social smoker,social drinker,Serious Relationship,Female
Frank1963,male,61 y.o.,"Concepción, Bío Bío, Chile",divorced,Frank1963,hispanic,Trabajo en copec,-,from 19 to 86,more than 2 living elsewhere,Straight,Other,non-smoker,social drinker,Serious Relationship,Female
Adrian2476,male,69 y.o.,"Johannesburg, South Africa",separated,Adrian2476,white,Retired lecturer,Honest English gentlemen. Looking for friendship and perhaps more with the right person. Not one for taking selfie’s so most of my photos are with my dogs.,from 40 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Friendship, Romance",Female
Bluejohn30,male,34 y.o.,"Cagayan de Oro Metropolitan Area, Misamis Oriental, Philippines",single,Bluejohn30,asian,Laborer,Im single and down to the earth person im simple and i am here for decent relation i am nature lover and love adventure .,from 28 to 60,no children,Bisexual,Christian,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",Male
Manu_1804,male,29 y.o.,"Tegucigalpa, Honduras",single,Manu_1804,hispanic,-,-,from 21 to 27,want children,Straight,Christian,non-smoker,social drinker,Friendship,Female
