name,gender,age,location,status,username,ethnicity,occupation,description,match_age,children,orientation,religion,smoking,drinking,intent,target
Nazaret,female,56 y.o.,"Caracas, Distrito Capital, Venezuela",single,Nazaret,white,-,"Educada tranquila trabajadora , cariñosa comprensiva",from 50 to 70,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage",Male
Serholo,male,50 y.o.,"Mendoza, Capital, Mendoza, Argentina",divorced,Serholo,white,Autónomo,"Apacionado, cariñoso, de palabra y mucho más",from 25 to 43,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",Female
wilinton,male,41 y.o.,"Medellín, Antioquia, Colombia",single,wilinton,hispanic,comerciante,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,Friendship,Female
Met,male,66 y.o.,"17493 Vilajuïga, Girona, España",single,Met,white,pensionista,-,from 30 to 50,no children,Straight,Atheist,non-smoker,social drinker,"Serious Relationship, Marriage",Female
Arlin10,male,26 y.o.,"Talanga, Francisco Morazán, Honduras",single,Arlin10,mixed,Comercio,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,Serious Relationship,Female
Grant812,male,55 y.o.,"Aberdeen, WA, USA",single,Grant812,white,Chef,-,from 30 to 67,no children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship",Female
Beege,male,45 y.o.,"Lancaster, KY 40444, USA",divorced,Beege,white,-,-,from 19 to 45,1-2 living elsewhere,Straight,Other,light smoker,never,"Friendship, Serious Relationship",Female
vinotinto,male,51 y.o.,"Valencia, Carabobo, Venezuela",single,vinotinto,white,funcionario publico,"honesto, responsable, trabajador, serio, me gusta ver televisión, hogareño, escuchar música, compartir con la familia",from 47 to 65,more than 2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,Female
Danilsa,female,31 y.o.,"Santo Domingo Este, República Dominicana",single,Danilsa,hispanic,-,-,from 37 to 86,1-2 living with me,Straight,Other,light smoker,social drinker,Friendship,Male
Juancamasdj,male,33 y.o.,"Woonsocket, RI 02895, USA",single,Juancamasdj,hispanic,-,-,from 30 to 36,1-2 living with me,Straight,Christian,social smoker,social drinker,Marriage,Female
HUTM,male,61 y.o.,"Ciudad de México, CDMX, México",divorced,HUTM,hispanic,INDEPENDIENTE,-,from 19 to 86,want children,Straight,Christian,non-smoker,occasional drinker,Romance,Female
Cristianlopez23,male,29 y.o.,"Atlanta, Georgia, EE. UU.",single,Cristianlopez23,hispanic,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,"Romance, Serious Relationship, Marriage",Female
Maverick2589,male,34 y.o.,"Chattanooga, TN, USA",single,Maverick2589,white,Regional Manager,-,from 21 to 40,1-2 living with me,Straight,Spiritual,non-smoker,social drinker,"Fun, Romance, Serious Relationship",Female
John145,male,42 y.o.,"Hants County, NS, Canada",separated,John145,white,-,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,Serious Relationship,Female
foej,male,45 y.o.,"Rotterdam, Netherlands",single,foej,hispanic,Process Control Engineer,-,from 22 to 36,no children,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",Female
750716,female,49 y.o.,"La Habana, Cuba",single,750716,hispanic,-,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,Male
Alex45,male,56 y.o.,"Dallas, Texas, EE. UU.",divorced,Alex45,hispanic,Técnico industrial,Soy un hombre tranquilo optimista ante cualquier circunstancia siempre con la fé por delante y soy muy cariñoso atento,from 19 to 86,more than 2 living elsewhere,Straight,Christian,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",Female
SlumericanMade84,male,40 y.o.,"Selma, VA, USA",single,SlumericanMade84,white,-,-,from 35 to 86,more than 2 living elsewhere,Straight,Other,non-smoker,occasional drinker,Fun,Female
Jonsie,male,57 y.o.,"Kelowna, BC, Canada",widowed,Jonsie,white,retired,"My likes include kind loving gentle people, all animals, weight lifting, camping, fishing, movies sheesh I could go on..",from 19 to 86,1-2 living with me,Straight,Atheist,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
ofeliaa,female,43 y.o.,"Valparaíso, Chile",divorced,ofeliaa,white,dermatologa,-,from 35 to 86,1-2 living with me,Straight,Atheist,non-smoker,social drinker,Friendship,Male
YDAY,male,26 y.o.,"Piura, Perú",single,YDAY,mixed,Químico industrial,"Divertido, me gusta conocer pueblos de la sierra, responsable, respetuoso.",from 19 to 86,no children,Bisexual,Other,non-smoker,occasional drinker,Serious Relationship,Female
Camy22,male,42 y.o.,"33000 Treinta y Tres, Departamento de Treinta y Tres, Uruguay",single,Camy22,hispanic,Comercio,-,from 30 to 52,no children,Straight,Christian,non-smoker,never,Serious Relationship,Female
Nerycita,female,44 y.o.,"La Paz, Bolivia",single,Nerycita,hispanic,Cuenta peopia,-,from 44 to 53,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage",Male
ricki33012,male,60 y.o.,"Oldbury, UK",divorced,ricki33012,white,self employed,-,from 35 to 64,don't want children,Straight,Other,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",Female
Gustavo38,male,38 y.o.,"Panama City, Panamá Province, Panama",single,Gustavo38,white,Carrocero,Soy colombiano,from 19 to 55,no children,Straight,Other,non-smoker,occasional drinker,Romance,Female
Jeremieh83,male,41 y.o.,"Springfield, OR, USA",divorced,Jeremieh83,white,-,Open minded laid back willing to try almost anything once.,from 19 to 86,more than 2 living elsewhere,Straight,Other,social smoker,social drinker,"Fun, Friendship, Romance",Female
Erieguy80,male,44 y.o.,"Erie, PA, USA",divorced,Erieguy80,white,Caregiver,-,from 24 to 86,1-2 living elsewhere,Straight,Christian,light smoker,occasional drinker,"Fun, Romance, Serious Relationship",Female
rociolatina,female,38 y.o.,"Esmeraldas, Ecuador",divorced,rociolatina,mixed,Docente,"Respetuosa, Divertida, Educada, trabajadora",from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,social drinker,Serious Relationship,Male
Aresx1986,male,37 y.o.,"Nueva Bolivia 3158, Mérida, Venezuela",single,Aresx1986,hispanic,Reparación de computadoras,-,from 19 to 86,no children,Straight,Atheist,social smoker,social drinker,Serious Relationship,Female
lexieharrlington,female,45 y.o.,"Valentine, NE 69201, USA",single,lexieharrlington,white,Service Industry,-,from 19 to 86,no children,Bisexual,Other,non-smoker,social drinker,"Fun, Friendship, Romance",Male
Tetetocompaetronk,male,40 y.o.,"Granada, Spain",single,Tetetocompaetronk,white,"Soy Autónomo , Astrólogo Kármico....","Soy buen tipo , se puede ver , vecinos Granadinos , Andaluces.....",from 40 to 53,no children,Homosexual,Christian,chain smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship",Male
kamjah002,male,35 y.o.,"Dewsbury, UK",divorced,kamjah002,asian,sports,"sports,going out, doing work and other things",from 19 to 46,no children,Straight,Muslim,non-smoker,never,"Romance, Serious Relationship, Marriage",Female
Ariel42,male,32 y.o.,"La Chorrera, Provincia de Panamá Oeste, Panamá",separated,Ariel42,white,-,-,from 28 to 40,1-2 living elsewhere,Straight,Christian,non-smoker,never,Serious Relationship,Female
RodrigoR3,male,31 y.o.,"Phoenix, Arizona, EE. UU.",single,RodrigoR3,hispanic,Empresario,"Me gusta gozar cada
Momento cuando me siento alegre feliz y con paz y eso es lo que puedo ofrecer",from 19 to 86,no children,Straight,Other,social smoker,social drinker,Fun,Female
Serge7,male,48 y.o.,"Tucson, AZ, USA",divorced,Serge7,hispanic,Communications,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",Female
Kewin1,male,30 y.o.,"Bogotá, Colombia",single,Kewin1,hispanic,-,-,from 19 to 45,want children,Straight,Other,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
Monchochavez,male,45 y.o.,"La Rioja, Argentina",single,Monchochavez,white,-,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
wael,male,52 y.o.,"Charleston, SC, USA",single,wael,hispanic,delivery,soy una persona seria me gusta la musica viajar aprender temas nuevas el deporte viajar,from 40 to 50,1-2 living elsewhere,Straight,Other,non-smoker,never,Serious Relationship,Female
FERREIRO,male,51 y.o.,"La Habana, Cuba",divorced,FERREIRO,hispanic,-,"ME LLAMO EDDY, SOY CUBANO, TENGO 51 AÑOS Y VIVO EN LA HABANA, SOY ATENTO CON LAS DAMAS, TRABAJADOR, Y MUY CARIÑOSO, SOY MUY BUEN COCINERO, ME GUSTA ESCUCHAR Y ESPERO ENCONTRAR A MI MEDIA NARANJA PARA UNA RELACIÓN DURADERA Y ESPECIAL,",from 43 to 53,1-2 living with me,Straight,Christian,social smoker,social drinker,"Serious Relationship, Marriage",Female
Ezequielramos,male,40 y.o.,"Manzanillo, Col., México",single,Ezequielramos,hispanic,Restaurantero,-,from 19 to 86,no children,Straight,Other,non-smoker,social drinker,"Fun, Friendship, Romance",Female
Francisco57,male,57 y.o.,"Barcelona, España",divorced,Francisco57,hispanic,Albañil,"Hola busco parejas,algo serio para llegar a vivir juntos",from 35 to 70,more than 2 living elsewhere,Straight,Christian,social smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",Female
Olinto59,male,65 y.o.,"Municipio Maturín, 6201, Monagas, Venezuela",divorced,Olinto59,white,Comerciante,-,from 19 to 86,more than 2 living elsewhere,Straight,Other,non-smoker,social drinker,Serious Relationship,Female
Muffin,female,38 y.o.,"Cape Town, South Africa",widowed,Muffin,mixed,Admin,"I'm a family lady. Loves the out doors, enjoys eating",from 35 to 45,1-2 living with me,Straight,Muslim,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",Male
Antonio507,male,26 y.o.,"Panama City, Panamá Province, Panama",single,Antonio507,black,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,social drinker,"Friendship, Serious Relationship, Marriage",Female
lacoco,male,53 y.o.,"Frankfurt, Germany",single,lacoco,white,-,-,from 35 to 40,no children,Straight,Atheist,non-smoker,social drinker,Marriage,Female
Anton32,male,32 y.o.,"Santiago, Región Metropolitana, Chile",single,Anton32,mixed,-,-,from 30 to 45,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,Female
Samy1340,male,32 y.o.,"Bridgeport, CT, USA",single,Samy1340,hispanic,Maneguer,-,from 19 to 55,no children,Straight,Other,social smoker,social drinker,"Fun, Romance",Female
Elparteculo,male,41 y.o.,"Fort Lauderdale, Florida, EE. UU.",single,Elparteculo,hispanic,-,-,from 19 to 86,no children,Straight,Other,non-smoker,occasional drinker,Fun,Female
Trialis,male,41 y.o.,"Madrid, España",single,Trialis,hispanic,-,-,from 19 to 86,want children,Straight,Christian,non-smoker,occasional drinker,"Friendship, Serious Relationship",Female
Freddy89,male,35 y.o.,"Hoorn, Netherlands",single,Freddy89,mixed,Engineer,-,from 19 to 55,1-2 living elsewhere,Straight,Atheist,social smoker,social drinker,"Fun, Friendship, Romance",Female
TravisO,male,38 y.o.,"Turley, OK, USA",separated,TravisO,white,Self-employed handyman,-,from 19 to 41,no children,Straight,Christian,social smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship",Female
Matshidisomay,female,21 y.o.,"Sonyboy St, Moleleki, Katlehong, 1434, South Africa",single,Matshidisomay,black,-,I have 1 child name katleho turning 4 next month currently simple looking to have maturity fun,from 21 to 25,1-2 living with me,Straight,Spiritual,non-smoker,occasional drinker,"Fun, Romance",Male
mikshirts,male,44 y.o.,"Milwaukee, WI, USA",single,mikshirts,white,Truck driver,"Just a humble, simple truck driver trying to live life according to the teachings of Jesus Christ. Hobbies include: Photography,
Woodworking, Hiking, Kayaking, Camping",from 19 to 86,no children,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship",Female
Lackys,male,59 y.o.,"Berlin, Germany",divorced,Lackys,mixed,Gruppenleiter,"Habe nach 29 Jahren Ehe im letzten Sommer einen neuen Lebensabschnitt begonnen. Das war schwer, aber jetzt bin ich aus dem gröbsten raus und möchte mal wieder Händchenhalten. Das habe ich sehr lange nicht mehr getan.
Wenn es passt, dann möchte ich gern eine feste Beziehung eingehen.",from 45 to 57,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,Female
German_79,male,44 y.o.,"Acarigua, Portuguesa, Venezuela",single,German_79,black,Chofer de Camiones,Soy una persona amable cariñosa me gusta compartir i conocer viejar bailar i trabajar,from 19 to 86,1-2 living elsewhere,Straight,Other,social smoker,social drinker,Serious Relationship,Female
LW39,male,61 y.o.,"Rison, AR 71665, USA",divorced,LW39,white,-,-,from 19 to 86,want children,Straight,Other,light smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
niach,male,44 y.o.,"Murcia, Spain",divorced,niach,white,-,"Я марокканец, проживающий в Испании, ищу русскую девушку для замужества, независимо от того, разведена ли она, вдова или мать-одиночка с маленьким ребенком, при условии, что она настроена серьезно.",from 19 to 86,no children,Straight,Muslim,non-smoker,never,"Serious Relationship, Marriage",Male
Malcapone4,male,44 y.o.,"Spokane, WA, USA",divorced,Malcapone4,white,Shift manager,-,from 19 to 51,1-2 living elsewhere,Straight,Other,light smoker,occasional drinker,"Fun, Friendship, Serious Relationship",Female
Ferny69,male,47 y.o.,"Temecula, California, EE. UU.",single,Ferny69,hispanic,Trabajador,"Hola soy un hombre alegre honesto sincero con gran sentido del humor y educado , me gusta pasear , ir al cine conocer ciudades y países me en cantan los animales especial los perros , y la naturaleza sin vicios y mucho más que puedes ir adivinando gracias!",from 19 to 35,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Romance, Serious Relationship, Marriage",Female
Cesarn23,male,28 y.o.,"Anaco 6003, Anzoátegui, Venezuela",single,Cesarn23,white,Estudiante,-,from 19 to 86,no children,Straight,Christian,non-smoker,heavy drinker,"Friendship, Serious Relationship",Female
sthormesj,male,48 y.o.,"Cabimas, Zulia, Venezuela",divorced,sthormesj,hispanic,Empleado público,"Soy un hombre cariñoso, un poco introvertido, me encanta el romance a la antigua, regalar flores, escribir cartas a mano, salir a caminar, me encanta una mujer que sonria, que sea muy extrovertida, que no le de pena abrazarnos en cualquier parte, me gusta cocinar, escucho Rock n' Roll.",from 35 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,Marriage,Female
Micheal78,male,46 y.o.,"Chauncey, OH, USA",single,Micheal78,white,Self employed,Down to earth smart funny living,from 19 to 34,no children,Straight,Other,social smoker,occasional drinker,Serious Relationship,Female
Franchis03,female,31 y.o.,"Santo Domingo, República Dominicana",single,Franchis03,black,Emprendedora,-,from 35 to 45,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage",Male
Elena72,female,52 y.o.,"Stockholm, Sweden",divorced,Elena72,hispanic,Propietaria Empresa de Limpieza,-,from 49 to 60,more than 2 living elsewhere,Straight,Other,non-smoker,occasional drinker,Serious Relationship,Male
Georgelangjr,male,54 y.o.,"Lafayette, LA, USA",divorced,Georgelangjr,white,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,heavy drinker,"Fun, Friendship, Romance",Female
Theo8965,male,31 y.o.,"Paris, France",single,Theo8965,white,-,-,from 19 to 86,no children,Straight,Atheist,non-smoker,occasional drinker,Fun,Female
DANIELOSO91,male,57 y.o.,"San Antonio, Texas, EE. UU.",separated,DANIELOSO91,hispanic,AYUDANTE DE PLOMERÍA,-,from 19 to 86,more than 2 living elsewhere,Straight,Spiritual,non-smoker,never,"Serious Relationship, Marriage",Male
JamesValentine4400,male,52 y.o.,"Kearney, NE, USA",widowed,JamesValentine4400,white,Carpenter,"I like to stay busy,,name it,or ask me please not good at this part",from 19 to 86,more than 2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,"Fun, Friendship, Romance",Female
Mgrand,male,43 y.o.,"Syracuse, NY 13211, USA",single,Mgrand,white,-,-,from 19 to 86,1-2 living with me,Straight,Other,social smoker,occasional drinker,Friendship,Female
Piter43,male,44 y.o.,"Cuenca, Ecuador",single,Piter43,hispanic,-,-,from 38 to 48,1-2 living with me,Straight,Christian,non-smoker,never,Serious Relationship,Female
Westley2657,male,68 y.o.,"Buffalo, NY, USA",widowed,Westley2657,white,Retired,"Looking for friendship or more honesty, loyalty committal Open minded understanding, listens well",from 19 to 86,more than 2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,Female
Sindylopez2602,female,32 y.o.,"Caracas, Distrito Capital, Venezuela",separated,Sindylopez2602,hispanic,-,-,from 29 to 45,1-2 living with me,Straight,Christian,non-smoker,never,Serious Relationship,Male
Rrli26,female,23 y.o.,"Pakkret, Pak Kret District, Nonthaburi 11120, Thailand",single,Rrli26,asian,-,-,from 19 to 45,no children,Straight,Other,non-smoker,occasional drinker,Friendship,"Male, Female"
Lookingtoodate1,male,55 y.o.,"Charleston, SC, USA",separated,Lookingtoodate1,white,-,"Make e laugh and we will be good. I don't do bars. I'm clean, drug free, not 420 friendly. I like to talk but would rather know you and then we can build upon each other. I don't mix my finances or even talk about money, so leave that out of the conversation. I'm friendly, open to experimenting, and like treating a woman with respect. I'm not submissive, I take charge of most situations, but I'm also open to equality in a relationship. I love romance, touching, and affection.",from 30 to 60,don't want children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
Mbalenhle12,female,24 y.o.,"Tsakane, Brakpan, 1550, South Africa",single,Mbalenhle12,black,-,Am Mbalie from South Africa am looking for a girl friend,from 19 to 86,no children,Bisexual,Christian,non-smoker,occasional drinker,Romance,Female
Carlos070173,male,51 y.o.,"Caracas, Distrito Capital, Venezuela",single,Carlos070173,hispanic,-,-,from 35 to 60,more than 2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",Female
Alexis55,male,55 y.o.,"La Habana, Cuba",single,Alexis55,hispanic,abogado,-,from 38 to 55,1-2 living with me,Straight,Atheist,non-smoker,never,Serious Relationship,Female
Jesse5150,male,42 y.o.,"Redding, CA, USA",single,Jesse5150,white,Tile setter,I'm a loving caring easy going handsome guy that funny and loves sports and very energetic,from 19 to 86,no children,Straight,Christian,light smoker,occasional drinker,"Romance, Serious Relationship, Marriage",Female
Sony2024,female,55 y.o.,"Villeta, Paraguay",divorced,Sony2024,hispanic,-,-,from 38 to 47,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Friendship, Serious Relationship",Male
gian123450,male,26 y.o.,"Montevideo, Departamento de Montevideo, Uruguay",single,gian123450,white,-,-,from 19 to 50,no children,Straight,Christian,non-smoker,social drinker,Fun,Female
Cotto,male,32 y.o.,"Cidra, 00739, Puerto Rico",separated,Cotto,hispanic,Operador nontacarga,Aski chico buscando madura mas 40 años chico trankilo humilde sin vicio ni nada,from 19 to 86,1-2 living elsewhere,Straight,Other,non-smoker,social drinker,"Fun, Friendship",Female
Jenncar,female,39 y.o.,"Bogotá, Colombia",single,Jenncar,white,Contadora,-,from 40 to 50,1-2 living with me,Straight,Christian,non-smoker,never,Serious Relationship,Male
sree,male,39 y.o.,"San Ġwann, Malta",separated,sree,asian,AV technician,-,from 19 to 86,no children,Straight,Hindu,non-smoker,never,"Fun, Friendship",Female
Tonnymaceli,male,47 y.o.,"Los Teques, Miranda, Venezuela",single,Tonnymaceli,white,COMERCIAL,-,from 19 to 86,no children,Straight,Other,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
theXception,female,57 y.o.,"Las Vegas, NV, USA",single,theXception,white,-,-,from 34 to 66,don't want children,Straight,Christian,social smoker,social drinker,"Romance, Serious Relationship, Marriage",Female
Majovillalobos2000,female,24 y.o.,"Alajuela Province, Alajuela, Costa Rica",single,Majovillalobos2000,hispanic,-,-,from 24 to 26,no children,Straight,Christian,non-smoker,never,Friendship,Male
DTF197899F,male,45 y.o.,"Portland, OR, USA",single,DTF197899F,white,-,I am looking for a woman that wanting true love and does not play games with the heart. I want a woman that will love me for me and not try to change me. If I need to change I will be the one to change but I will not change just cause you want me too. If you want to know more please ask I will not hide anything to someone that is being true with me.,from 33 to 48,want children,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",Female
Anuel,male,58 y.o.,"Huelva, España",divorced,Anuel,white,-,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,"Friendship, Serious Relationship, Marriage",Female
franco33,male,33 y.o.,"La Paz, Bolivia",single,franco33,white,ingeniero informatico,-,from 19 to 35,no children,Straight,Other,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
CloseIncounter,male,69 y.o.,"Columbia, SC, USA",married,CloseIncounter,white,Property Manager,"Married - seeking discreet NSA friend. I'm just a personable,easy going, romantic kind of guy that's stuck in a platonic marriage. I'm seeking a discrete partner for friendship and fun. Any marital status is Ok, discretion is imperative. Be attractive, fit-average build, mature, intelligent with an easy going non-possessive personality with no drama.",from 50 to 68,1-2 living elsewhere,Straight,Other,non-smoker,never,"Fun, Friendship",Female
Jesusramonocumare,male,44 y.o.,"Maracay, Aragua, Venezuela",single,Jesusramonocumare,hispanic,Desempleado la verdad,-,from 35 to 60,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,Female
Saraz,female,41 y.o.,"Belgrade, Serbia",single,Saraz,white,Seller,"I am happy person, who like good people with intelligent thinking, who don't yuge and who are not primitive",from 30 to 35,no children,Straight,Christian,light smoker,occasional drinker,Fun,Male
Honestus23Vir,male,59 y.o.,"Royse City, TX, USA",single,Honestus23Vir,white,-,Simple country boy from East Texas,from 40 to 51,more than 2 living elsewhere,Straight,Spiritual,social smoker,social drinker,"Romance, Serious Relationship",Female
heleda,female,63 y.o.,"La Habana, Cuba",single,heleda,mixed,comunicadora periodista,"Encontrar una compañia y amistad todo con seriedad y responsabildad. Que le guste leer, ver peliculas pasear y degustar diferentes comidas.Sin ser aventurero que le guste conocer del mundo.",from 65 to 76,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Friendship, Serious Relationship",Female
Mig53,male,52 y.o.,"Caracas, Distrito Capital, Venezuela",divorced,Mig53,black,Profesor de Taekwondo,"Soy Cubano y estoy viviendo en Caracas còmo Turista; Soy Profesor de Taekwondo, Masjista y otras cosas màs còmo Albañil. 
Soy cariño, trabajador y muy Cavalleroso.",from 50 to 60,more than 2 living elsewhere,Straight,Christian,non-smoker,social drinker,Serious Relationship,Female
Motolito0,male,34 y.o.,"Cagua 2122, Aragua, Venezuela",single,Motolito0,hispanic,-,-,from 19 to 86,want children,Straight,Christian,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",Female
valvehead7,male,48 y.o.,"Limache, Valparaíso, Chile",single,valvehead7,hispanic,"musico, profesor",-,from 30 to 50,no children,Straight,Spiritual,light smoker,occasional drinker,Romance,Female
Christian96,male,27 y.o.,"Playa del Carmen, Quintana Roo, Mexico",single,Christian96,hispanic,-,-,from 19 to 86,no children,Homosexual,Christian,non-smoker,never,Serious Relationship,Female
Vero50,female,51 y.o.,"Santiago, Región Metropolitana, Chile",single,Vero50,hispanic,-,-,from 19 to 86,1-2 living with me,Straight,Atheist,non-smoker,occasional drinker,"Serious Relationship, Marriage",Male
LILIFER,female,36 y.o.,"Medellín, Antioquia, Colombia",single,LILIFER,white,CONTADORA,"Tengo 36 años, trabajo y vivo con mis padres.",from 40 to 50,1-2 living with me,Straight,Other,non-smoker,never,Serious Relationship,Male
itsjustme,female,58 y.o.,"Olney, TX 76374, USA",separated,itsjustme,white,-,I’m newly single and it’s been awhile since I’ve been in the dating phase so this is all new to me. I have two grown kids and grandkids. I like experiencing new things and seeing new places. I’m fairly adventurous and I like to have fun.,from 52 to 62,1-2 living elsewhere,Straight,Christian,light smoker,occasional drinker,Serious Relationship,Male
Olemanjack,male,53 y.o.,"Savannah, GA, USA",divorced,Olemanjack,white,Transportation,-,from 30 to 45,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Fun, Romance, Serious Relationship",Female
Jrotten47,male,48 y.o.,"Cincinnati, OH, USA",separated,Jrotten47,white,Lawn care,Just looking to see what is going on hopefully meet at least a good lady friend,from 29 to 65,1-2 living with me,Straight,Other,light smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship",Female
Tonydale,male,59 y.o.,"Denton, TX, USA",divorced,Tonydale,white,Retired,-,from 35 to 65,1-2 living elsewhere,Straight,Christian,social smoker,social drinker,Romance,Female
